statement_number,measure_type,point,measure_id,measure,numerator,denominator,data_source,qs
3,error,NA,QS105-3-error,NA,NA,NA,NA,QS105
1,error,NA,QS18-1-error,NA,NA,NA,NA,QS18
2,error,NA,QS18-2-error,NA,NA,NA,NA,QS18
3,error,NA,QS18-3-error,NA,NA,NA,NA,QS18
4,error,NA,QS18-4-error,NA,NA,NA,NA,QS18
5,error,NA,QS18-5-error,NA,NA,NA,NA,QS18
6,error,NA,QS18-6-error,NA,NA,NA,NA,QS18
7,error,NA,QS18-7-error,NA,NA,NA,NA,QS18
8,error,NA,QS18-8-error,NA,NA,NA,NA,QS18
1,error,NA,QS19-1-error,NA,NA,NA,NA,QS19
2,error,NA,QS19-2-error,NA,NA,NA,NA,QS19
3,error,NA,QS19-3-error,NA,NA,NA,NA,QS19
4,error,NA,QS19-4-error,NA,NA,NA,NA,QS19
5,error,NA,QS19-5-error,NA,NA,NA,NA,QS19
6,error,NA,QS19-6-error,NA,NA,NA,NA,QS19
7,error,NA,QS19-7-error,NA,NA,NA,NA,QS19
8,error,NA,QS19-8-error,NA,NA,NA,NA,QS19
9,error,NA,QS19-9-error,NA,NA,NA,NA,QS19
10,error,NA,QS19-10-error,NA,NA,NA,NA,QS19
11,error,NA,QS19-11-error,NA,NA,NA,NA,QS19
12,error,NA,QS19-12-error,NA,NA,NA,NA,QS19
13,error,NA,QS19-13-error,NA,NA,NA,NA,QS19
14,error,NA,QS19-14-error,NA,NA,NA,NA,QS19
1,error,NA,QS21-1-error,NA,NA,NA,NA,QS21
2,error,NA,QS21-2-error,NA,NA,NA,NA,QS21
3,error,NA,QS21-3-error,NA,NA,NA,NA,QS21
4,error,NA,QS21-4-error,NA,NA,NA,NA,QS21
5,error,NA,QS21-5-error,NA,NA,NA,NA,QS21
7,error,NA,QS22-7-error,NA,NA,NA,NA,QS22
9,error,NA,QS22-9-error,NA,NA,NA,NA,QS22
12,error,NA,QS22-12-error,NA,NA,NA,NA,QS22
1,error,NA,QS23-1-error,NA,NA,NA,NA,QS23
2,error,NA,QS23-2-error,NA,NA,NA,NA,QS23
3,error,NA,QS23-3-error,NA,NA,NA,NA,QS23
4,error,NA,QS23-4-error,NA,NA,NA,NA,QS23
5,error,NA,QS23-5-error,NA,NA,NA,NA,QS23
6,error,NA,QS23-6-error,NA,NA,NA,NA,QS23
7,error,NA,QS23-7-error,NA,NA,NA,NA,QS23
8,error,NA,QS23-8-error,NA,NA,NA,NA,QS23
9,error,NA,QS23-9-error,NA,NA,NA,NA,QS23
10,error,NA,QS23-10-error,NA,NA,NA,NA,QS23
1,error,NA,QS26-1-error,NA,NA,NA,NA,QS26
2,error,NA,QS26-2-error,NA,NA,NA,NA,QS26
3,error,NA,QS26-3-error,NA,NA,NA,NA,QS26
4,error,NA,QS26-4-error,NA,NA,NA,NA,QS26
5,error,NA,QS26-5-error,NA,NA,NA,NA,QS26
6,error,NA,QS26-6-error,NA,NA,NA,NA,QS26
7,error,NA,QS26-7-error,NA,NA,NA,NA,QS26
8,error,NA,QS26-8-error,NA,NA,NA,NA,QS26
9,error,NA,QS26-9-error,NA,NA,NA,NA,QS26
3,error,NA,QS28-3-error,NA,NA,NA,NA,QS28
7,error,NA,QS32-7-error,NA,NA,NA,NA,QS32
1,error,NA,QS37-1-error,NA,NA,NA,NA,QS37
10,error,NA,QS37-10-error,NA,NA,NA,NA,QS37
11,error,NA,QS37-11-error,NA,NA,NA,NA,QS37
5,error,NA,QS39-5-error,NA,NA,NA,NA,QS39
2,error,NA,QS43-2-error,NA,NA,NA,NA,QS43
4,error,NA,QS45-4-error,NA,NA,NA,NA,QS45
8,error,NA,QS45-8-error,NA,NA,NA,NA,QS45
3,error,NA,QS64-3-error,NA,NA,NA,NA,QS64
4,error,NA,QS72-4-error,NA,NA,NA,NA,QS72
6,error,NA,QS72-6-error,NA,NA,NA,NA,QS72
9,error,NA,QS73-9-error,NA,NA,NA,NA,QS73
4,error,NA,QS92-4-error,NA,NA,NA,NA,QS92
6,error,NA,QS95-6-error,NA,NA,NA,NA,QS95
4,error,NA,QS98-4-error,NA,NA,NA,NA,QS98
