statement_number,measure_type,point,measure_id,measure,numerator,denominator
1,structure,a,QS192-1-structure-a,Evidence of local processes to provide opportunities for pregnant women with existing medical conditions or obstetric complications to discuss and make decisions on the intrapartum management of their medical conditions or obstetric complications.,NA,NA
1,structure,b,QS192-1-structure-b,Evidence of local processes to ensure that pregnant women with existing medical conditions or obstetric complications are supported to develop an intrapartum care plan.,NA,NA
1,structure,c,QS192-1-structure-c,"Evidence of local arrangements to ensure that pregnant women with existing medical conditions or obstetric complications are supported to review their intrapartum care plan throughout pregnancy, including when their conditions change, and on admission for birth.",NA,NA
1,process,a,QS192-1-process-a,Proportion of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when developing the plan.,The number in the denominator who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when developing the plan.,The number of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan.
1,process,b,QS192-1-process-b,"Proportion of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan, who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when reviewing the plan on admission for birth.",The number in the denominator who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when reviewing the plan on admission for birth.,The number of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan.
1,process,c,QS192-1-process-c,"Proportion of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan, who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when updating the plan when their medical condition changed.",The number in the denominator who reported that they were involved as much as they wanted to be in discussing and making decisions about their care when updating the plan when their medical condition changed.,The number of pregnant women with existing medical conditions or obstetric complications with an individualised intrapartum care plan.
1,outcome,a,QS192-1-outcome-a,Proportion of pregnant women with existing medical conditions or obstetric complications who felt that they were involved in preparing and reviewing their intrapartum care plan.,The number in the denominator who were satisfied with their involvement in preparing and reviewing their intrapartum care plan.,The number of pregnant women with existing medical conditions or obstetric complications and an intrapartum care plan.
2,structure,a,QS192-2-structure-a,Evidence that multidisciplinary teams caring for pregnant women with existing medical conditions can access expertise in managing the medical conditions in pregnancy.,NA,NA
2,structure,b,QS192-2-structure-b,Evidence that a named healthcare professional is available to lead the multidisciplinary team caring for pregnant women with existing medical conditions.,NA,NA
2,process,a,QS192-2-process-a,Proportion of pregnant women with existing medical conditions cared for by a multidisciplinary team that can access expertise in managing the medical conditions in pregnancy.,The number in the denominator with a multidisciplinary team that can access expertise in managing the medical conditions in pregnancy.,The number of pregnant women with existing medical conditions.
